GENE_SYMBOL,ctrl,ctrl,ctrl,mod,mod,mod
CDHR3,6.248076373,6.449690819,6.533173735,6.078966267,6.015422684,5.858247127
MPRIP,6.31388043,6.369752859,6.912606919,6.329699984,6.569193542,5.874076417
ZNF737,5.979812705,6.075455909,6.188115168,5.892581487,5.839941257,5.858247127
ARHGAP32,7.01948731,6.969102614,6.847379363,6.921339235,7.103774713,7.0797208
SMAD4,10.17186212,10.17471795,10.1478545,9.872607805,10.21154676,9.957200505
FTL,14.04829437,13.94138401,14.19881701,14.90382238,14.39730538,15.15834074
ZNF805,7.288470488,7.317031241,7.524216952,6.896903046,6.848238222,6.8152367
USP2-AS1,11.34621808,10.84814952,9.098368608,8.796834528,11.50388783,10.86910411
TUG1,6.644875805,6.490191656,6.859534601,6.304967015,6.363408641,6.163311527
RPL5,12.20326562,12.75192282,13.1091426,10.99899883,11.46150831,11.06269137
FAM228B,6.572099034,6.567412665,7.190353679,7.131335035,7.095675656,7.308618434
KPNA4,7.55783553,7.463074616,7.62413735,7.174233615,7.527694701,7.606288762
CRHR1-IT1,7.174490448,7.575663382,7.392041242,7.297813584,7.482116352,7.229416111
KTN1-AS1,5.841882949,6.025139231,5.999661492,5.892581487,5.924896962,5.858247127
OR2F2,6.072090164,6.153327337,6.087386751,6.006922777,6.232153355,6.036675687
ACBD7,5.792539224,5.937125414,5.863283267,6.006922777,6.032273723,6.078142863
SYS1,7.856163063,7.895765591,8.075925963,8.626822338,8.245766528,7.99952887
SMTNL1,6.036612896,6.115481861,6.114113827,6.388521422,6.591847998,6.036675687
SRRM5,6.282002587,6.23368786,6.155757603,6.177333808,6.339786125,6.057186885
CTXN2,5.707029142,5.844109082,5.863283267,5.892581487,5.854262531,5.858247127
LMNTD1,5.9419611,5.844109082,5.968205635,5.820233401,5.854262531,5.874076417
FKBP5,6.222856702,6.269874443,6.22891458,6.597052017,6.232153355,6.342861747
AMDHD2,7.535469681,7.459718367,7.736522634,7.314094279,7.138856726,7.588109482
MTFR1,5.9419611,5.914957042,5.934162273,5.920343993,5.969587637,5.891332024
TIMM8A,7.031257957,7.214076077,7.515423769,7.308228364,6.958105061,6.670757187
FAN1,6.143944061,6.153327337,6.212610734,6.078966267,6.113459092,6.184577553
PARP9,9.618892767,8.881430788,9.013264799,10.54735658,11.39037895,9.901701936
KRT72,6.12561242,5.968008097,5.999661492,6.064226621,6.096150073,5.793579982
RPS20,5.998694851,5.947649111,6.114113827,5.920343993,5.924896962,5.858247127
SHBG,5.979812705,5.892165119,5.863283267,6.064226621,6.145487923,6.286867674
KDM4C,7.025653565,7.301110591,6.895293784,7.283597584,6.91599014,6.999798549
RBM19,8.264358748,8.599028094,8.60734347,7.901345237,7.925300016,6.902340476
ADAL,6.108807877,6.130268705,5.999661492,5.976870596,5.882345737,5.959157076
BRI3,7.752074651,7.612905237,8.14498949,7.977929886,7.178991863,7.978861519
RIOK2,5.979812705,6.04231569,6.114113827,5.992622443,6.080398479,5.840552812
FLT1,6.213916291,6.090837995,6.131121709,6.44737822,6.113459092,6.619339422
NOS3,5.979812705,6.04231569,5.956238888,6.006922777,6.113459092,5.891332024
C15orf40,8.295011166,8.480793025,8.430616762,8.061679698,7.794114016,8.127762156
SH2D2A,6.430631508,6.63992443,6.659995679,6.606389127,6.580995857,6.204920131
COG5,6.491795606,7.476398927,6.880484196,6.255028288,6.376912714,6.535775029
RBM34,5.9419611,5.937125414,6.050299239,6.006922777,6.20321485,5.942095193
KDM4E,5.877025172,5.832980089,5.838429243,5.83561703,5.999274913,5.858247127
KIRREL3,5.888273219,6.007179145,5.999661492,6.006922777,5.924896962,5.891332024
ANKRD66,12.46761555,12.48891444,11.68273097,12.22926924,12.81701889,12.1002444
COX11,7.431903353,7.535647413,7.805508873,7.030312264,7.369410266,6.999798549
TMEM217,6.706066528,6.592040284,6.597690561,6.636344745,6.848238222,6.782979298
RDM1,5.9419611,5.880002909,5.978244327,5.976870596,5.812112834,5.858247127
ZSCAN12,6.143944061,6.269874443,6.27504669,6.203354703,6.339786125,6.078142863
C2orf61,5.806526395,5.86801962,5.934162273,5.776536767,5.896738564,5.793579982
DDHD2,6.841999879,6.874015093,7.114894813,6.714471023,6.49284866,6.324643203
ZBTB24,6.009676349,6.04231569,6.059846261,6.304967015,6.047061249,5.924218326
RAPGEF6,6.161412354,6.122716776,6.25284083,6.006922777,6.232153355,5.891332024
CCDC175,5.779991393,5.880002909,5.813432792,5.776536767,5.668013287,5.826203158
KRTAP21-3,5.735738129,5.892165119,5.863283267,5.86384962,5.868231332,5.858247127
STEAP1B,6.017523953,5.808807715,6.147001052,5.948517069,5.969587637,5.924218326
ZNF135,5.961408004,6.033784481,5.887437872,5.83561703,5.825803519,5.959157076
DISC1,7.141472052,6.807584733,6.743343572,7.985951605,7.730091511,7.170475776
DISC1,5.806526395,5.795881849,5.910578133,5.86384962,5.939881055,5.924218326
DISC1,6.706066528,6.585574004,6.433901087,7.664477655,7.2841795,6.552559091
DISC1,6.430631508,6.26202743,6.304054379,6.938512469,6.645617048,6.702884867
DISC1,6.179894579,6.186361595,6.180803981,6.355980007,6.49284866,6.653008605
DISC1,8.429021032,8.105650316,7.559726579,9.581285305,8.772467706,8.14363459
C16orf52,7.248327312,7.505556269,7.965128654,6.904870947,7.200281955,6.670757187
PET117,7.381375955,7.590175215,7.856910032,7.435932015,7.730091511,7.026665544
LYRM4,7.439735794,6.934541599,8.067983518,7.213409632,6.865008353,6.999798549
TMEM41B,8.133109101,7.700949818,7.951297119,8.521978881,7.919829447,7.654385308
RGS9,6.151878803,6.241390484,6.164576255,6.329699984,6.015422684,5.996630517
APOBEC3H,6.017523953,6.153327337,6.147001052,6.425461452,6.174483166,5.891332024
FRAS1,5.898674442,5.856327349,5.934162273,5.86384962,5.753876715,5.907765895
CGREF1,10.2332336,9.65970159,8.339477765,8.966490989,10.418519,10.06596516
C22orf39,5.877025172,5.784298227,5.78814491,5.920343993,5.868231332,5.826203158
MDFIC,7.856163063,7.929566908,7.958656193,7.901345237,7.494364057,7.588109482
HPSE,7.606288762,7.148708841,7.636101402,8.589739359,7.953942732,8.919320882
SLC1A3,5.898674442,5.977851966,5.956238888,6.006922777,5.868231332,5.959157076
FAM104B,5.920616216,5.844109082,5.887437872,5.79097668,5.911194721,5.907765895
SLC34A1,5.841882949,5.937125414,5.910578133,5.86384962,5.796401118,5.924218326
VEPH1,6.179894579,6.090837995,6.095366565,6.329699984,6.311728585,6.829985242
IL1RAP,6.330980615,6.23368786,6.244873187,6.006922777,5.984051854,6.119222454
ALS2CR11,5.735738129,5.808807715,5.874989772,5.83561703,5.796401118,5.808954773
OSMR,6.513817579,6.202123531,6.53916966,6.503246262,6.376912714,6.482905649
CREBRF,6.557906511,6.346158845,6.622585059,6.546133555,6.613478813,6.859765307
SAP25,13.64012411,13.60071562,14.13046892,13.85794039,13.88044741,14.28813642
CDK1,5.752348182,5.98821365,5.7994388,5.776536767,5.839941257,5.942095193
DZIP1L,5.85468998,5.892165119,5.874989772,5.992622443,5.924896962,5.959157076
SPATA22,5.920616216,5.700704689,5.934162273,5.877936662,5.724169165,5.774956783
FAM122C,6.31388043,6.306634344,6.447661595,6.304967015,6.624382719,6.204920131
ZFAND1,7.162427146,7.140128454,7.649548635,7.077326778,7.494364057,7.29852072
LARP4,8.611701917,8.629489275,9.123602238,8.161329793,8.481046841,7.757818476
NUDT16,6.52014135,6.5043364,6.747569424,6.626637077,6.645617048,6.569106721
GOLGA3,6.349574798,6.369752859,6.433901087,6.377681278,6.416393162,6.286867674
